City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,papatowai,-46.5619,169.4708,6.1,83,60,6.3,NZ,1714062487
83,mata-utu,-13.2816,-176.1745,28.99,72,56,3.99,WF,1714062334
84,mao,39.8885,4.2658,16.31,59,20,4.12,ES,1714062596
85,vilyuchinsk,52.9306,158.4028,7.15,84,100,4.88,RU,1714062476
86,nuku'alofa,-21.1333,-175.2,26.19,94,20,3.09,TO,1714062596
87,mogocha,53.7333,119.7667,-2.64,76,50,1.82,RU,1714062309
88,kapa'a,22.0752,-159.319,23.18,82,100,7.72,US,1714062497
89,vilyuysk,63.7553,121.6247,-14.44,98,93,1.79,RU,1714062597
90,udachny,66.4167,112.4,-9.2,96,98,3.43,RU,1714062343
91,san angelo,31.4638,-100.437,23.12,77,100,7.2,US,1714062512
92,kayes,14.0,-11.0,44.26,8,43,3.65,ML,1714062598
93,kerikeri,-35.2268,173.9474,12.73,94,98,1.05,NZ,1714062533
94,chegdomyn,51.1167,133.0167,4.94,64,61,3.86,RU,1714062599
95,iqaluit,63.7506,-68.5145,-11.15,66,20,8.23,CA,1714062537
96,santiago,-33.4569,-70.6483,21.27,34,0,2.57,CL,1714062326
97,amga,60.8953,131.9608,-12.88,95,38,1.58,RU,1714062510
98,ntungamo,-0.8833,29.65,20.72,92,99,0.43,UG,1714062600
99,sisimiut,66.9395,-53.6735,0.58,93,100,2.48,GL,1714062601
100,rongelap,11.1635,166.8941,27.21,78,99,9.65,MH,1714062601
101,cidreira,-30.1811,-50.2056,21.76,65,4,6.97,BR,1714062602
102,mugia,43.1041,-9.2179,13.84,80,59,5.26,ES,1714062602
103,spring creek,40.7266,-115.5859,7.67,95,99,2.33,US,1714062603
104,susuman,62.7833,148.1667,-1.68,90,100,1.34,RU,1714062375
105,pizarro,4.9533,-77.366,26.95,87,100,3.88,CO,1714062604
106,shohimardon,39.9839,71.8028,16.43,75,100,2.36,UZ,1714062604
107,isla del bosque,22.7333,-105.85,27.64,40,31,2.05,MX,1714062328
108,kanor,24.4333,74.2667,29.29,28,7,2.03,IN,1714062605
109,praia da vitoria,38.7333,-27.0667,19.14,68,75,3.62,PT,1714062391
110,puerto baquerizo moreno,-0.9,-89.6,28.55,65,40,5.66,EC,1714062605
111,ashchysay,43.5542,68.8889,13.71,58,17,1.66,KZ,1714062606
112,punta del este,-34.9667,-54.95,15.06,88,75,2.06,UY,1714062606
113,chonchi,-42.6128,-73.8092,12.56,84,100,4.32,CL,1714062498
114,hermanus,-34.4187,19.2345,18.78,82,85,4.52,ZA,1714062528
115,elkins,38.9259,-79.8467,14.96,54,0,3.09,US,1714062607
116,newman,37.3138,-121.0208,17.35,72,14,1.34,US,1714062607
117,stanley,54.868,-1.6985,7.77,66,20,6.69,GB,1714062483
118,new norfolk,-42.7826,147.0587,11.62,84,98,1.35,AU,1714062608
119,quang ngai,15.1167,108.8,26.22,75,6,1.6,VN,1714062608
120,lazaro cardenas,17.9583,-102.2,29.99,46,96,1.32,MX,1714062301
121,nema,57.5067,50.5011,12.37,68,72,4.31,RU,1714062609
122,whitehorse,60.7161,-135.0538,5.61,60,20,2.06,CA,1714062480
123,mount pearl,47.5166,-52.7813,12.19,75,75,11.32,CA,1714062610
124,ponto novo,-10.8628,-40.1336,29.14,64,79,3.1,BR,1714062610
125,port augusta,-32.5,137.7667,11.98,77,0,2.91,AU,1714062611
126,olonkinbyen,70.9221,-8.7187,-1.44,79,30,4.38,SJ,1714062488
127,lyndon,38.2567,-85.6016,14.27,56,0,3.09,US,1714062611
128,onega,63.9061,38.1404,2.43,90,98,4.28,RU,1714062612
129,yonan-up,37.9089,126.1611,10.6,84,1,0.45,KP,1714062612
130,cole harbour,44.6724,-63.4751,7.18,34,0,7.72,CA,1714062612
131,sechura,-5.5569,-80.8222,27.53,57,66,3.17,PE,1714062613
132,khvansar,33.2205,50.315,10.79,53,95,1.32,IR,1714062613
133,remire-montjoly,4.9167,-52.2667,31.02,66,75,5.14,GF,1714062543
134,portland,45.5234,-122.6762,11.73,93,100,4.92,US,1714062490
135,tralee,52.2704,-9.7026,10.14,93,75,3.09,IE,1714062452
136,zaporizhia,47.8167,35.1833,20.37,60,100,1.71,UA,1714062441
137,kayyerkan,69.3786,87.7439,-13.72,97,54,1.25,RU,1714062615
138,sibu,2.3,111.8167,27.17,94,40,0.0,MY,1714062615
139,tianshui,34.5439,105.6897,15.55,55,21,2.63,CN,1714062615
140,eyl,7.9803,49.8164,29.22,70,100,3.65,SO,1714062616
141,poronaysk,49.2167,143.1167,2.44,99,100,1.6,RU,1714062491
142,mantua,45.1667,10.7833,15.61,55,61,1.34,IT,1714062616
143,berezovyy,51.6667,135.7,8.21,48,48,4.86,RU,1714062617
144,vodnyy,63.5046,53.4095,-1.99,97,100,2.58,RU,1714062617
145,badger,64.8,-147.5333,7.21,59,20,1.54,US,1714062519
146,sedan,49.6667,5.0,8.63,69,98,3.31,FR,1714062618
147,viedma,-40.8135,-62.9967,20.12,25,49,9.09,AR,1714062226
148,hami,42.8,93.45,14.59,53,68,5.77,CN,1714062517
149,sola,-13.8833,167.55,27.49,78,58,0.2,VU,1714062619
150,san antonio de pale,-1.4014,5.6325,28.85,76,46,3.15,GQ,1714062504
