City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,east wenatchee bench,47.4257,-120.2812,65.48,33,75,5.75,US,1713665477
83,dudinka,69.4058,86.1778,-0.58,96,99,4.54,RU,1713665478
84,brisas de zicatela,15.8369,-97.0419,81.01,65,2,7.14,MX,1713665478
85,thompson,55.7435,-97.8558,32.16,34,75,9.22,CA,1713665021
86,tabas,33.5959,56.9244,71.89,27,4,7.67,IR,1713665480
87,ushuaia,-54.8,-68.3,37.06,87,40,26.46,AR,1713664996
88,san julian,21.0167,-102.1667,72.12,16,12,6.91,MX,1713665481
89,mulayjah,27.271,48.4242,78.04,34,90,8.1,SA,1713665482
90,whitehorse,60.7161,-135.0538,59.77,13,0,10.36,CA,1713665091
91,la passe,45.5549,-0.8967,43.03,79,0,12.44,FR,1713665240
92,san antonio de pale,-1.4014,5.6325,83.26,81,77,7.63,GQ,1713665217
93,laghouat,33.8,2.8651,56.05,43,0,8.16,DZ,1713665491
94,georgetown,5.4112,100.3354,89.53,79,20,3.44,MY,1713665086
95,areia branca,-4.9561,-37.1369,79.21,82,100,6.76,BR,1713665493
96,hilo,19.7297,-155.09,73.13,86,100,4.0,US,1713665493
97,sultanah,24.4926,39.5857,77.45,13,0,9.22,SA,1713665272
98,caluula,11.9661,50.7569,84.2,73,47,13.18,SO,1713665501
99,papatowai,-46.5619,169.4708,56.44,73,66,12.26,NZ,1713665104
100,ust-nera,64.5667,143.2,29.53,87,68,4.03,RU,1713665156
101,fort-shevchenko,44.5086,50.263,68.18,37,53,13.2,KZ,1713665502
102,barabai,-2.5833,115.3833,87.17,65,37,2.71,ID,1713665027
103,macusani,-14.0833,-70.4333,34.61,93,64,3.22,PE,1713665506
104,verkhnevilyuysk,63.4453,120.3167,34.54,99,100,11.34,RU,1713665058
105,tazovsky,67.4667,78.7,-4.85,95,100,2.91,RU,1713665226
106,tromso,69.6496,18.957,28.42,46,75,14.97,NO,1713665507
107,inarajan village,13.2736,144.7484,92.37,78,13,17.25,GU,1713665507
108,st. john's,47.5649,-52.7093,31.89,89,75,5.75,CA,1713665208
109,lemvig,56.5486,8.3102,37.15,88,1,9.22,DK,1713665508
110,klyuchi,52.2667,79.1667,48.69,41,8,4.21,RU,1713665118
111,santiago de cao,-7.9589,-79.2392,68.13,83,18,9.22,PE,1713665511
112,bel ombre,-4.6167,55.4167,83.75,73,15,3.53,SC,1713665512
113,tralee,52.2704,-9.7026,45.0,94,29,3.62,IE,1713665512
114,lauro de freitas,-12.8944,-38.3272,78.82,89,100,5.75,BR,1713665196
115,port-vila,-17.7338,168.3219,84.47,73,100,10.38,VU,1713665513
116,lujan,-34.5703,-59.105,71.94,91,96,4.74,AR,1713665220
117,hastings,50.8552,0.5729,45.12,86,32,12.17,GB,1713665418
118,bengkulu,-3.8004,102.2655,79.12,88,100,2.57,ID,1713665514
119,puerto ayora,-0.7393,-90.3518,76.55,99,72,4.52,EC,1713664990
120,puerto natales,-51.7236,-72.4875,35.69,86,70,6.42,CL,1713664967
121,bikenibeu village,1.3673,173.1241,87.76,74,40,6.91,KI,1713665515
122,honggang,46.4667,124.8667,60.24,39,8,15.9,CN,1713665515
123,ponta delgada,37.7333,-25.6667,65.19,88,40,10.36,PT,1713665289
124,villarrubia de los ojos,39.2209,-3.608,53.98,74,30,3.67,ES,1713665516
125,moroni,-11.7022,43.2551,81.3,81,72,10.69,KM,1713665516
126,anadyr,64.75,177.4833,19.9,85,0,22.37,RU,1713664896
127,sorochinsk,52.4338,53.1583,61.81,60,2,5.17,RU,1713665517
128,pandan,14.0453,124.1694,86.41,62,28,7.36,PH,1713665313
129,yellowknife,62.456,-114.3525,39.72,56,0,5.75,CA,1713664887
130,lompoc,34.6391,-120.4579,65.84,82,0,21.99,US,1713665518
131,cabo san lucas,22.8909,-109.9124,84.51,26,0,6.91,MX,1713665175
132,ballina,-28.8667,153.5667,64.78,72,100,20.67,AU,1713665519
133,fort bragg,35.139,-79.006,71.44,83,100,4.61,US,1713665519
134,belyy yar,53.6039,91.3903,39.09,52,0,4.47,RU,1713665520
